aalib 1.4rc5-19
python-idna 3.10-2
python-ifaddr 0.2.0-6
python-inflate64 1.0.3-1
python-installer 0.7.0-10
python-jaconv 0.4.0-1
python-jaraco.classes 3.4.0-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jeepney 0.9.0-1
python-jinja 1:3.1.6-1
python-jsonschema 4.25.1-1
python-jsonschema-specifications 2025.9.1-1
python-keyring 25.6.0-1
python-kiwisolver 1.4.7-1
python-lark-parser 1.3.0-1
python-lockfile 0.12.2-14
python-lxml 6.0.2-1
python-lxml-html-clean 0.4.2-1
python-mako 1.3.10-1
python-markdown 3.9.0-1
python-markupsafe 3.0.2-1
python-matplotlib 3.10.6-1
python-mechanize 1:0.4.10-2
python-more-itertools 10.8.0-1
python-msgpack 1.0.5-3
python-multivolumefile 0.2.3-9
python-netifaces 0.11.0-7
python-numpy 2.3.3-1
python-packaging 25.0-1
python-pbs-installer 2025.09.18-1
python-pdftotext 2.2.2-9
python-pexpect 4.9.0-4
python-pillow 11.3.0-4
python-pkginfo 1.12.1.2-1
python-platformdirs 4.4.0-1
python-poetry 2.2.0-1
python-poetry-core 2.2.0-1
python-poetry-dynamic-versioning 1.9.1-1
python-poetry-plugin-export 1.9.0-1
python-psutil 7.1.0-1
python-ptyprocess 0.7.0-8
python-py7zr 1.0.0-1
python-pyasyncore 1.0.4-3
python-pybcj 1.0.6-1
python-pychm 0.8.6-9
python-pycparser 2.22-3
python-pycryptodome 3.23.0-1
python-pycryptodomex 3.23.0-1
python-pygments 2.19.2-1
python-pyinotify 0.9.6-15
python-pykakasi 2.3.0-2
python-pyparsing 3.2.5-1
python-pyppmd 1.2.0-1
python-pyproject-hooks 1.2.0-3
python-pyqt6 6.9.1-2
python-pyqt6-sip 13.10.2-1
python-pyqt6-webengine 6.9.0-1
python-pyzstd 0.17.0-1
python-rapidfuzz 3.14.1-1
python-referencing 0.36.2-1
python-regex 2025.9.18-1
python-requests 2.32.5-1
python-requests-toolbelt 1.0.0-3
python-rpds-py 0.27.1-1
python-secretstorage 3.3.3-6
python-setuptools 1:80.9.0-2
python-sgmllib3k 1.0.0-7
python-shellingham 1.5.4-3
python-six 1.17.0-1
python-soupsieve 2.8-1
python-texttable 1.7.0-3
python-tomlkit 0.13.3-1
python-tqdm 4.67.1-2
python-trove-classifiers 2025.9.11.17-1
python-typing_extensions 4.15.0-1
python-unrardll 0.1.7-4
python-urllib3 2.5.0-1
python-urwid 3.0.3-1
python-virtualenv 20.34.0-1
python-wcwidth 0.2.14-1
python-webencodings 0.5.1-12
python-wheel 0.45.1-1
python-wrapt 1.17.3-1
python-xxhash 3.5.0-1
python-zeroconf 0.147.0-2
python-zstandard 0.25.0-1
qhull 2020.2-5
qpdf 12.2.0-1
qrencode 4.1.1-4
qt5-base 5.15.17+kde+r123-2
qt5-translations 5.15.17-1
qt6-base 6.9.2-1
qt6-declarative 6.9.2-1
qt6-imageformats 6.9.2-1
qt6-multimedia 6.9.2-3
qt6-multimedia-ffmpeg 6.9.2-3
qt6-positioning 6.9.2-1
qt6-speech 6.9.2-1
qt6-svg 6.9.2-1
qt6-translations 6.9.2-1
qt6-wayland 6.9.2-1
qt6-webchannel 6.9.2-1
qt6-webengine 6.9.2-2
ranger 1.9.4-4
raptor 2.0.16-8
rav1e 0.7.1-1
re2 1:20240702-7
readline 8.3.001-1
rhash 1.4.4-1
rofi 2.0.0-1
rtkit 0.13-3
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 4.0.0-1
rust 1:1.90.0-3
sassc 3.6.2-5
sbc 2.1-1
scdoc 1.11.3-1
sdl2-compat 2.32.56-2
sdl3 3.2.22-1
seatd 0.9.1-1
sed 4.9-3
semver 7.7.2-1
sequoia-sqv 1.3.0-1
serd 0.32.4-1
serf 1.3.10-2
shaderc 2025.3-1
shadow 4.18.0-1
shared-mime-info 2.4-2
simdjson 1:4.0.3-1
slang 2.3.3-4
slurp 1.5.0-1
snapper 0.13.0-1
snappy 1.2.2-2
sndio 1.10.0-1
sof-firmware 2025.05.1-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
spandsp 0.0.6-6
spdlog 1.15.3-1
speedtest-cli 2.1.3-9
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.321.0-1
spotify-launcher 0.6.3-2
sqlite 3.50.4-2
sratom 0.6.18-1
srt 1.5.4-1
starship 1.23.0-1
startup-notification 0.12-9
stunnel 5.75-1
subversion 1.14.5-4
sudo 1.9.17.p1-1
svt-av1 3.1.2-1
svt-hevc 1.5.1-3
swaybg 1.2.1-1
swayidle 1.8.0-2
swww 0.11.2-1
systemd 258-4
systemd-libs 258-4
systemd-sysvcompat 258-4
taglib 2.1.1-1
tailscale 1.88.1-1
tar 1.35-2
tdb 1.4.14-1
tesseract 5.5.1-1
tesseract-data-afr 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
texinfo 7.2-1
texlive-basic 2025.2-2
texlive-bin 2025.2-2
texlive-latex 2025.2-2
texlive-latexextra 2025.2-2
texlive-latexrecommended 2025.2-2
texlive-pictures 2025.2-2
thunar 4.20.5-1
thunar-archive-plugin 0.6.0-1
tinysparql 3.10.0-1
tmux 3.5_a-1
tpm2-tss 4.1.3-1
tree-sitter 0.25.10-1
tree-sitter-c 0.24.1-1
tree-sitter-cli 0.25.10-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.23-1
ttf-firacode-nerd 3.4.0-1
ttf-hack-nerd 3.4.0-1
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols-common 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-sourcecodepro-nerd 3.4.0-1
twolame 0.4.0-4
tzdata 2025b-1
uchardet 0.0.8-3
udisks2 2.10.2-1
unibilium 2.1.2-1
unzip 6.0-23
upower 1.90.10-1
util-linux 2.41.2-1
util-linux-libs 2.41.2-1
v4l-utils 1.30.1-1
v4l2loopback-dkms 0.15.1-1
vapoursynth 72-1
vid.stab 1.1.1-2
vmaf 3.0.0-1
volume_key 0.3.12-11
vulkan-icd-loader 1.4.321.0-1
vulkan-intel 1:25.2.3-2
vulkan-mesa-device-select 1:25.2.3-2
vulkan-mesa-layers 1:25.2.3-2
vulkan-tools 1.4.321.0-1
wavpack 5.8.1-1
waybar 0.14.0-1
wayland 1.24.0-1
wayland-protocols 1.45-1
webrtc-audio-processing-1 1.3-5
wf-recorder 0.5.0-2
which 2.23-1
wildmidi 0.4.6-1
wine 10.15-1
wine-gecko 2.47.4-2
wireplumber 0.5.11-1
wl-clipboard 1:2.2.1-3
woff2 1.0.2-6
wpa_supplicant 2:2.11-3
wtype 0.4-2
x264 3:0.164.r3108.31e19f9-3
x265 4.1-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-desktop-portal 1.20.3-1
xdg-desktop-portal-wlr 0.7.1-2
xdg-utils 1.2.1-1
xfconf 4.20.0-2
xkeyboard-config 2.45-1
xorg-fonts-encodings 1.1.0-1
xorg-server-common 21.1.18-2
xorg-setxkbmap 1.3.4-2
xorg-xkbcomp 1.4.7-1
xorg-xprop 1.2.8-1
xorg-xset 1.2.5-2
xorg-xwayland 24.1.8-1
xorgproto 2024.1-2
xvidcore 1.3.7-3
xwayland-satellite 0.7-1
xxhash 0.8.3-1
xz 5.8.1-1
yyjson 0.12.0-1
zathura 0.5.13-1
zathura-pdf-poppler 0.3.3-6
zbar 0.23.93-4
zed 0.205.5-1
zenity 4.2.0-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.5-1
zram-generator 1.2.1-1
zstd 1.5.7-2
zvbi 0.2.44-1
zxing-cpp 2.3.0-5
zziplib 0.13.80-1
